x,absolute_error,relative_error,function,derivative
-4.0,4.0,1.0,-81.0,56.0
-2.553571428571429,1.4464285714285712,0.5664335664335662,-24.171869305758026,24.66932397959184
-1.573736337599554,0.9798350909718749,0.6226170595173735,-7.374233960718646,10.577410856042878
-0.8765681873706399,0.697168150228914,0.7953381839239961,-2.4419020517642194,4.058251736072028
-0.2748553783649249,0.601712809005715,2.1891978704772592,-1.096309560234863,0.7763471937782279
1.1372828621296183,1.412138240494543,1.241677235732054,-0.822436656376303,1.6056712012219725
1.6494902528771136,0.5122073907474953,0.31052465442222565,0.7671448321233076,4.863473777255586
1.4917542667778525,0.1577359860992611,0.10573858551111526,0.09431591217939195,3.69248384379408
1.4662115924780292,0.025542674299823265,0.017420865058537682,0.002250694728163971,3.516906116794817
1.4655716280736866,0.0006399644043426633,0.00043666538849684855,1.391663859262593e-06,3.5125573348962957
1.4655712318769198,3.9619676672764115e-07,2.703360697520196e-07,5.333511410299252e-13,3.5125546433618573
1.465571231876768,1.5187850976872141e-13,1.0369483049998962e-13,-4.440892098500626e-16,3.512554643360826
