x,absolute_error,relative_error,function,derivative
612.25,612.25,1.0,374238.0625,1224.5
306.6247958350347,305.6252041649653,0.9967400168425804,93406.76542087672,613.2495916700694
154.31036026158242,152.3144355734523,0.9870655172812333,23199.687284059353,308.62072052316483
79.13819669222804,75.17216356935438,0.9498847170059013,5650.854175697772,158.27639338445607
43.43575203282927,35.702444659398765,0.8219598599884819,1274.664554657432,86.87150406565854
28.7627638260863,14.672988206742971,0.5101383266039041,215.29658291521855,57.5255276521726
25.020137001052955,3.7426268250333443,0.149584585603022,14.007255551459139,50.04027400210591
24.74021735970827,0.2799196413446836,0.011314356590923058,0.07835500561054687,49.48043471941654
24.738633804388783,0.0015835553194882834,6.401142973411211e-05,2.5076474230445456e-06,49.47726760877757
24.738633753705965,5.068281794251561e-08,2.048731406745219e-09,1.1368683772161603e-13,49.47726750741193
24.73863375370596,3.552713678800501e-15,2.220446049250313e-16,-1.1368683772161603e-13,49.47726750741192
