X axes,Y axes,W axes,Z axes,X-1 axes,Y-1 axes,W-1 axes,Z-1 axes,Matrix Norm
0.47437668677834577,0.43288886029324547,0.013092299931368512,-0.2787962474046557,1.0,2.0,3.0,4.0,8.800845905592384
0.7732663240061349,1.2115455533156738,1.5749271015233233,1.7629193143437356,0.47437668677834577,0.43288886029324547,0.013092299931368512,-0.2787962474046557,4.1235041987812515
0.6407698264302334,0.8472990283507432,0.7977852189108962,0.7245250206757399,0.7732663240061349,1.2115455533156738,1.5749271015233233,1.7629193143437356,2.3122791988212548
0.755684984198487,1.1412775118637533,1.378859022832772,1.4777746884296779,0.6407698264302334,0.8472990283507432,0.7977852189108962,0.7245250206757399,1.743217112957077
0.676253824249717,0.9353211356569799,0.9679975809286927,0.9447071324352108,0.755684984198487,1.1412775118637533,1.378859022832772,1.4777746884296779,1.2293165340540897
0.7366821104245139,1.090600278036523,1.2748815385110894,1.3413431921521641,0.676253824249717,0.9353211356569799,0.9679975809286927,0.9447071324352108,0.9192274458536911
0.6930864144475996,0.9780450654882819,1.0513915067544657,1.0520283171854596,0.7366821104245139,1.090600278036523,1.2748815385110894,1.3413431921521641,0.6689558152484847
0.7259014990657431,1.0624289857092046,1.2182383594367454,1.2676636579446066,0.6930864144475996,0.9780450654882819,1.0513915067544657,1.0520283171854596,0.4996811982804936
0.7018769180222832,1.0004922589087943,1.0954561213885008,1.108828999279673,0.7259014990657431,1.0624289857092046,1.2182383594367454,1.2676636579446066,0.3675782045570486
0.7198552756988569,1.0467462502976062,1.1869512060901812,1.227092097325904,0.7018769180222832,1.0004922589087943,1.0954561213885008,1.108828999279673,0.2739905318132969
0.7066050727584622,1.0126084694425566,1.1193247973513056,1.1396339285089045,0.7198552756988569,1.0467462502976062,1.1869512060901812,1.227092097325904,0.2024725613513194
0.7164860712158643,1.0380378179238094,1.1696418877577621,1.2046783540856223,0.7066050727584622,1.0126084694425566,1.1193247973513056,1.1396339285089045,0.1506718629218291
0.7091794830933555,1.0192191085361255,1.1323750040641567,1.1564892883809637,0.7164860712158643,1.0380378179238094,1.1696418877577621,1.2046783540856223,0.11158124690845739
0.7146171070010228,1.0332157632724577,1.1600753920351272,1.192299673165422,0.7091794830933555,1.0192191085361255,1.1323750040641567,1.1564892883809637,0.0829450513994292
0.7105892273590123,1.0228433351812989,1.1395383407327593,1.1657454118546942,0.7146171070010228,1.0332157632724577,1.1600753920351272,1.192299673165422,0.06149162034626521
0.7135833351450657,1.0305511093856843,1.1547942520164596,1.185468664203733,0.7105892273590123,1.0228433351812989,1.1395383407327593,1.1657454118546942,0.04568104562317821
0.7113634095188479,1.0248349489574815,1.143477491672681,1.1708366874665417,0.7135833351450657,1.0305511093856843,1.1547942520164596,1.185468664203733,0.03388482313539054
0.7130125077657431,1.029080502504524,1.1518811921254144,1.1817014665721042,0.7113634095188479,1.0248349489574815,1.143477491672681,1.1708366874665417,0.025163131352233137
0.711789197613246,1.0259307093780858,1.1456455922864892,1.1736393145952493,0.7130125077657431,1.029080502504524,1.1518811921254144,1.1817014665721042,0.018670855094715222
0.7126976186154009,1.028269490682281,1.1502751663287412,1.1796247672608668,0.711789197613246,1.0259307093780858,1.1456455922864892,1.1736393145952493,0.01386222901421963
0.7120235611686486,1.0265339645271216,1.1468394628613654,1.1751827114408246,0.7126976186154009,1.028269490682281,1.1502751663287412,1.1796247672608668,0.01028734288932931
0.7125240105891419,1.0278224240285898,1.1493899940459682,1.1784802489833843,0.7120235611686486,1.0265339645271216,1.1468394628613654,1.1751827114408246,0.007636977649124077
0.7121526159907615,1.0268661910899195,1.1474970324148528,1.1760328332540129,0.7125240105891419,1.0278224240285898,1.1493899940459682,1.1784802489833843,0.005668004897538381
0.7124283247738746,1.0275760396136928,1.1489022068058732,1.1778495661605635,0.7121526159907615,1.0268661910899195,1.1474970324148528,1.1760328332540129,0.004207464604457201
0.7122236981813416,1.0270491898145926,1.1478592617750751,1.1765011435125303,0.7124283247738746,1.0275760396136928,1.1489022068058732,1.1778495661605635,0.003122844070464481
0.7123755956206388,1.0274402719876627,1.1486334296522287,1.177502057985533,0.7122236981813416,1.0270491898145926,1.1478592617750751,1.1765011435125303,0.002318061962524709
0.712262854648887,1.0271500003075644,1.1480588141522872,1.1767591393839079,0.7123755956206388,1.0274402719876627,1.1486334296522287,1.177502057985533,0.0017205467534173735
0.7123465411600581,1.0273654641501793,1.1484853376425432,1.1773105883283546,0.712262854648887,1.0271500003075644,1.1480588141522872,1.1767591393839079,0.0012771227884886827
0.7122844259851623,1.0272055379624028,1.1481687520165025,1.1769012761270488,0.7123465411600581,1.0273654641501793,1.1484853376425432,1.1773105883283546,0.0009479391900191203
0.7123305326069468,1.027324246784761,1.1484037436156205,1.1772050951663844,0.7122844259851623,1.0272055379624028,1.1481687520165025,1.1769012761270488,0.0007036260825969975
0.7122963101196634,1.0272361352265742,1.1482293205543888,1.1769795844505215,0.7123305326069468,1.027324246784761,1.1484037436156205,1.1772050951663844,0.0005222678225642596
0.7123217123996117,1.027301537494482,1.1483587885969313,1.1771469728641801,0.7122963101196634,1.0272361352265742,1.1482293205543888,1.1769795844505215,0.00038766100405673853
0.7123028574975454,1.0272529924076508,1.1482626902354136,1.177022727800884,0.7123217123996117,1.027301537494482,1.1483587885969313,1.1771469728641801,0.0002877434137111834
0.7123168528212732,1.027289025645517,1.1483340204123118,1.177114950154602,0.7123028574975454,1.0272529924076508,1.1482626902354136,1.177022727800884,0.00021358109220948052
